id,source,ambientTemp,latitude,longitude,time
2WWPp4MwvVdLhsXiiLRwwUDyKtc,,7.5,41.95,-88.17,2023-10-09T09:59:01.43Z
2WWPoxZFRAj71BYOSYBuGZdq6iP,,13.5,50.86,9.69,2023-10-09T09:59:01.692Z
2WWPp2WvsgqESEf0N7flLjsvlqL,,24,45.38,11.59,2023-10-09T09:59:01.727Z
2WWPpAYqZLBoeAJDKl7jWYfgYCJ,,32,22.97,120.27,2023-10-09T09:59:02.098Z
2WWPp5U2iGpIp7MnXVk6aBgR8q9,,17.5,33.92,-117.92,2023-10-09T09:59:02.13Z
2WWPp8r5iytMaLhxLJTHiN6fY3a,,14.5,50.43,8.86,2023-10-09T09:59:02.13Z
2WWPpAhFJ9YBSkrIw12TzSYYEeK,,21.5,33.74,-118.09,2023-10-09T09:59:02.209Z
2WWPp5BoM6FzSdm1QReOYDExADg,,18,33.98,-117.89,2023-10-09T09:59:02.331Z
2WWPpA9weCsv1kUAyVpjEZ44gNI,,18,33.94,-118.11,2023-10-09T09:59:02.591Z
2WWPpC2BExRKDJ1xWFSV3lCvwR7,,22,41.89,-87.66,2023-10-09T09:59:02.645Z
2WWPpBXAYz9eM9fbIAuHcsoAiRO,,22,47.27,11.39,2023-10-09T09:59:02.591Z
2WWPpHTPzYYghevw5uNkwCXVpib,,20,45.44,-122.52,2023-10-09T09:59:03.084Z
2WWPpHhl0oZZzFTn6VKDu5n55mm,,29,34.41,-118.45,2023-10-09T09:59:03.085Z
2WWPpGiRB6VlXNxg70bg4nWM1uj,,9,39.99,-74.06,2023-10-09T09:59:03.58Z
2WWPpGpZHpHfVqFQouBnSJnwLlA,,18.5,49.01,2.57,2023-10-09T09:59:03.591Z
2WWPpHW3zCtuZmjrwAxtG1WdTC7,,24,45.38,11.59,2023-10-09T09:59:03.591Z
2WWPpGScKtsaY1xxlNVBJfNiqyj,,20,39.37,-94.78,2023-10-09T09:59:03.944Z
2WWPpPfpNUsO2umiBQaR33PMycd,,27.5,38.58,-121.46,2023-10-09T09:59:04.703Z
2WWPpKwQnRtK9hssouvCdRwdnOg,,18.5,43.63,-79.61,2023-10-09T09:59:04.703Z
2WWPpQMT8DEmUO7heaCz7FYEznV,,27.5,33.41,-111.99,2023-10-09T09:59:04.703Z
2WWPpNHcKOIceYJQv1RXw8YRMeP,,6.5,40.66,-75.08,2023-10-09T09:59:04.754Z
2WWPpZIdOVXUTTnfLFcxnWIqttE,,21.5,47.89,-122.31,2023-10-09T09:59:05.452Z
